Minimum Votes Cast,Cubs,Indians
100,0.9,0.1
111,0.91,0.09
143,0.93,0.07
151,0.88,0.12
181,0.9,0.1
187,0.87,0.13
203,0.88,0.12
305,0.92,0.08
318,0.88,0.12
322,0.87,0.13
419,0.9,0.1
433,0.87,0.13
704,0.92,0.08
712,0.91,0.09
728,0.89,0.11
"1,143",0.93,0.07
"1,222",0.87,0.13
"1,324",0.88,0.12
"2,270",0.93,0.07
"2,345",0.9,0.1
"3,350",0.93,0.07
"3,541",0.88,0.12
"5,311",0.92,0.08
"5,369",0.91,0.09
"5,490",0.89,0.11
"6,039",0.9,0.1
"6,107",0.89,0.11
"6,718",0.9,0.1
"7,464",0.91,0.09
"9,597",0.93,0.07
"9,808",0.91,0.09
"10,259",0.87,0.13
"19,052",0.93,0.07
"19,259",0.92,0.08
"19,687",0.9,0.1
"19,908",0.89,0.11
"27,373",0.92,0.08
"27,982",0.9,0.1
"39,974",0.93,0.07
"41,770",0.89,0.11
"45,947",0.9,0.1
"51,052",0.91,0.09
"52,793",0.88,0.12
"57,592",0.89,0.11
"79,189",0.92,0.08
"83,740",0.87,0.13
"155,518",0.93,0.07
"166,243",0.87,0.13
"270,145",0.92,0.08
"276,149",0.9,0.1
"345,186",0.92,0.08
"360,876",0.88,0.12
"393,683",0.89,0.11
"402,733",0.87,0.13
"747,933",0.93,0.07
"772,864",0.9,0.1
"966,080",0.92,0.08
"1,104,092",0.93,0.07
"1,140,895",0.9,0.1
"1,267,661",0.91,0.09
"1,325,944",0.87,0.13
"1,723,728",0.9,0.1
"1,783,166",0.87,0.13
"2,318,116",0.9,0.1
"2,897,645",0.92,0.08
"2,929,488",0.91,0.09
"3,295,674",0.92,0.08
"3,406,764",0.89,0.11
"3,747,440",0.9,0.1
"4,684,300",0.92,0.08
"4,897,223",0.88,0.12
"4,953,513",0.87,0.13
"5,854,152",0.89,0.11
"6,439,567",0.9,0.1
"8,049,458",0.92,0.08
"8,415,343",0.88,0.12
"11,220,457",0.91,0.09
"11,345,129",0.9,0.1
"11,472,602",0.89,0.11
"14,022,069",0.91,0.09
"14,177,870",0.9,0.1
"17,722,338",0.92,0.08
"18,319,720",0.89,0.11
"28,788,131",0.93,0.07
"30,081,980",0.89,0.11
"47,271,683",0.93,0.07
"47,785,505",0.92,0.08
"48,310,621",0.91,0.09
"54,349,448",0.92,0.08
"57,472,980",0.87,0.13
"106,735,534",0.93,0.07
"112,800,053",0.88,0.12
"123,054,603",0.89,0.11
"193,371,520",0.93,0.07
"204,358,538",0.88,0.12
